DATE,DJIA,SP500,NASDAQ100
2021-07-06,34577.37,4343.54,14786.36
2021-07-07,34681.79,4358.13,14810.54
2021-07-08,34421.93,4320.82,14722.14
2021-07-09,34870.16,4369.55,14826.09
2021-07-12,34996.18,4384.63,14877.89
2021-07-13,34888.79,4369.21,14874.54
2021-07-14,34933.23,4374.3,14900.44
2021-07-15,34987.02,4360.03,14794.69
2021-07-16,34687.85,4327.16,14681.38
2021-07-19,33962.04,4258.49,14549.09
2021-07-20,34511.99,4323.06,14728.21
2021-07-21,34798.0,4358.69,14842.63
2021-07-22,34823.35,4367.48,14940.17
2021-07-23,35061.55,4411.79,15111.79
2021-07-26,35144.31,4422.3,15125.95
2021-07-27,35058.52,4401.46,14956.97
2021-07-28,34930.93,4400.64,15018.1
2021-07-29,35084.53,4419.15,15048.36
2021-07-30,34935.47,4395.26,14959.9
2021-08-02,34838.16,4387.16,14963.62
2021-08-03,35116.4,4423.15,15061.42
2021-08-04,34792.67,4402.66,15083.39
2021-08-05,35064.25,4429.1,15181.64
2021-08-06,35208.51,4436.52,15109.36
2021-08-09,35101.85,4432.35,15133.11
2021-08-10,35264.67,4436.75,15053.58
2021-08-11,35484.97,4447.7,15027.76
2021-08-12,35499.85,4460.83,15088.98
2021-08-13,35515.38,4468.0,15136.68
2021-08-16,35625.4,4479.71,15140.77
2021-08-17,35343.28,4448.08,15002.83
2021-08-18,34960.69,4400.27,14857.92
2021-08-19,34894.12,4405.8,14933.94
2021-08-20,35120.08,4441.67,15092.57
2021-08-23,35335.71,4479.53,15312.82
2021-08-24,35366.26,4486.23,15357.68
2021-08-25,35405.5,4496.19,15368.92
2021-08-26,35213.12,4470.0,15278.52
2021-08-27,35455.8,4509.37,15432.95
2021-08-30,35399.84,4528.79,15605.09
2021-08-31,35360.73,4522.68,15582.51
2021-09-01,35312.53,4524.09,15611.57
2021-09-02,35443.82,4536.95,15604.25
2021-09-03,35369.09,4535.43,15652.86
2021-09-07,35100.0,4520.03,15675.76
2021-09-08,35031.07,4514.07,15620.85
2021-09-09,34879.38,4493.28,15561.05
2021-09-10,34607.72,4458.58,15440.75
2021-09-13,34869.63,4468.73,15434.5
2021-09-14,34577.57,4443.05,15382.9
2021-09-15,34814.39,4480.7,15503.53
2021-09-16,34751.32,4473.75,15515.91
2021-09-17,34584.88,4432.99,15333.47
2021-09-20,33970.47,4357.73,15012.19
2021-09-21,33919.84,4354.19,15027.77
2021-09-22,34258.32,4395.64,15176.51
2021-09-23,34764.82,4448.98,15316.58
2021-09-24,34798.0,4455.48,15329.68
2021-09-27,34869.37,4443.11,15204.82
2021-09-28,34299.99,4352.63,14770.3
2021-09-29,34390.72,4359.46,14752.89
2021-09-30,33843.92,4307.54,14689.62
2021-10-01,34326.46,4357.04,14791.87
2021-10-04,34002.92,4300.46,14472.12
2021-10-05,34314.67,4345.72,14674.15
2021-10-06,34416.99,4363.55,14766.75
2021-10-07,34754.94,4399.76,14897.13
2021-10-08,34746.25,4391.34,14820.75
2021-10-11,34496.06,4361.19,14713.73
2021-10-12,34378.34,4350.65,14662.11
2021-10-13,34377.81,4363.8,14774.6
2021-10-14,34912.56,4438.26,15052.42
2021-10-15,35294.76,4471.37,15146.92
2021-10-18,35258.61,4486.46,15300.89
2021-10-19,35457.31,4519.63,15410.72
2021-10-20,35609.34,4536.19,15388.71
2021-10-21,35603.08,4549.78,15489.59
2021-10-22,35677.02,4544.9,15355.07
2021-10-25,35741.15,4566.48,15514.19
2021-10-26,35756.88,4574.79,15559.49
2021-10-27,35490.69,4551.68,15598.39
2021-10-28,35730.48,4596.42,15778.16
2021-10-29,35819.56,4605.38,15850.47
2021-11-01,35913.84,4613.67,15905.28
2021-11-02,36052.63,4630.65,15972.49
2021-11-03,36157.58,4660.57,16144.5
2021-11-04,36124.23,4680.06,16346.24
2021-11-05,36327.95,4697.53,16359.38
2021-11-08,36432.22,4701.7,16336.03
2021-11-09,36319.98,4685.25,16219.94
2021-11-10,36079.94,4646.71,15985.57
2021-11-11,35921.23,4649.27,16032.47
2021-11-12,36100.31,4682.85,16199.89
2021-11-15,36087.45,4682.8,16189.12
2021-11-16,36142.22,4700.9,16309.77
2021-11-17,35931.05,4688.67,16308.07
2021-11-18,35870.95,4704.54,16482.97
2021-11-19,35601.98,4697.96,16573.34
2021-11-22,35619.25,4682.94,16380.98
2021-11-23,35813.8,4690.7,16306.72
2021-11-24,35804.38,4701.46,16367.81
2021-11-26,34899.34,4594.62,16025.58
2021-11-29,35135.94,4655.27,16399.24
2021-11-30,34483.72,4567.0,16135.92
2021-12-01,34022.04,4513.04,15877.72
2021-12-02,34639.79,4577.1,15990.76
2021-12-03,34580.08,4538.43,15712.04
2021-12-06,35227.03,4591.67,15846.16
2021-12-07,35719.43,4686.75,16325.66
2021-12-08,35754.75,4701.21,16394.34
2021-12-09,35754.69,4667.45,16149.57
2021-12-10,35970.99,4712.02,16331.98
2021-12-13,35650.95,4668.97,16082.55
2021-12-14,35544.18,4634.09,15914.9
2021-12-15,35927.43,4709.85,16289.59
2021-12-16,35897.64,4668.67,15863.94
2021-12-17,35365.44,4620.64,15801.46
2021-12-20,34932.16,4568.02,15627.64
2021-12-21,35492.7,4649.23,15986.28
2021-12-22,35753.89,4696.56,16180.14
2021-12-23,35950.56,4725.79,16308.21
2021-12-27,36302.38,4791.19,16567.5
2021-12-28,36398.21,4786.35,16488.66
2021-12-29,36488.63,4793.06,16491.01
2021-12-30,36398.08,4778.73,16429.1
2021-12-31,36338.3,4766.18,16320.08
